index,shape-type,vertex-index,axis-0,axis-1,axis-2
193,path,9,29.0,29.0,4.0
194,path,0,27.0,21.0,5.0
194,path,1,27.0,22.0,6.0
194,path,2,27.0,22.0,7.0
195,path,0,27.0,30.0,0.0
195,path,1,28.0,30.0,1.0
195,path,2,28.0,30.0,2.0
195,path,3,28.0,30.0,3.0
195,path,4,29.0,29.0,4.0
196,path,0,27.0,30.0,25.0
196,path,1,28.0,31.0,25.0
197,path,0,27.0,31.0,10.0
197,path,1,28.0,30.0,9.0
197,path,2,28.0,29.0,8.0
197,path,3,29.0,29.0,7.0
197,path,4,29.0,29.0,6.0
197,path,5,29.0,29.0,5.0
197,path,6,29.0,29.0,4.0
198,path,0,28.0,9.0,1.0
198,path,1,27.0,8.0,0.0
198,path,2,28.0,7.0,0.0
198,path,3,29.0,8.0,0.0
198,path,4,28.0,9.0,1.0
199,path,0,28.0,9.0,1.0
199,path,1,28.0,10.0,0.0
200,path,0,28.0,10.0,8.0
200,path,1,29.0,10.0,9.0
200,path,2,30.0,10.0,10.0
200,path,3,31.0,9.0,11.0
200,path,4,31.0,8.0,10.0
201,path,0,28.0,15.0,23.0
201,path,1,29.0,15.0,24.0
201,path,2,30.0,15.0,24.0
